date,close,volume,open,high,low
10/8/15,226.72,6125994,230.08,230.72,221.31
10/7/15,231.96,6804433,236.63,237.7,229.12
10/6/15,241.46,5234679,240,243.03,235.58
10/5/15,246.15,3684490,248.84,249.84,244.13
10/2/15,247.57,4407615,235.6,247.7,234.93
10/1/15,239.88,4568261,247.51,248.5,237.13
9/30/15,248.4,4925751,252,252.4,242.34
9/29/15,246.65,3695972,250.46,254.73,245.46
9/28/15,248.43,4893113,257.35,259.79,246.61
9/25/15,256.91,3771395,266.61,266.91,256.15
9/24/15,263.12,3442668,259.53,263.45,256.21
9/23/15,261.06,2597170,261.95,262.08,257.5838
9/22/15,260.94,3660643,259.03,262.65,255.87
9/21/15,264.2,6114615,263.98,271.57,255.8
9/18/15,260.62,3760644,257.96,263.82,257.5
9/17/15,262.07,3575221,263.96,265.5,260.69
9/16/15,262.25,4405706,253.04,262.88,252.88
9/15/15,253.57,2931607,252.75,254.6,249.5
9/14/15,253.19,2885610,251.1,254.25,249.67
9/11/15,250.24,2346802,247.64,250.24,244.73
9/10/15,248.48,2706874,247.23,250.7231,245.33
9/9/15,248.91,3384981,252.05,254.25,248.303
9/8/15,248.17,3129871,245.05,249.16,244.05
9/4/15,241.93,3687456,240.89,244.09,238.2
9/3/15,245.57,4184808,252.06,252.08,245
9/2/15,247.69,4590857,245.3,247.88,239.78
9/1/15,238.63,5443901,240.34,246,236.97
8/31/15,249.06,4688373,245.62,254.95,245.51
8/28/15,248.48,5507336,241.86,251.45,241.57
8/27/15,242.99,7645773,231,244.75,230.81
8/26/15,224.84,4951300,227.93,228,215.51
8/25/15,220.03,4313679,230.52,230.9,219.12
8/24/15,218.87,9562484,202.79,231.4,195
8/21/15,230.77,6578435,236,243.7999,230.51
8/20/15,242.18,4892170,252.06,254.56,241.9
8/19/15,255.25,3598937,260.33,260.65,255.02
8/18/15,260.72,4186051,255.38,260.95,253.5601
8/17/15,254.99,7168396,255.56,256.59,250.51
8/14/15,243.15,4360693,247.24,247.93,241.77
8/13/15,242.51,4683330,239.86,246.48,239.12
8/12/15,238.17,3730138,235,239.77,232.74
8/11/15,237.37,4260892,237.15,239.3,234.44
8/10/15,241.14,4179307,238.15,242.97,236.05
8/7/15,242.51,5069602,243.58,243.73,238.39
8/6/15,246.13,14617820,249.54,255,236.12
8/5/15,270.13,5969245,263.58,271,260.4
8/4/15,266.28,2336152,260.01,266.72,258.34
8/3/15,259.99,2547164,266.29,266.7099,257.07
7/31/15,266.15,2218004,267.6,269.3599,265.123
7/30/15,266.79,2030605,262.69,266.94,262.11
7/29/15,263.82,2782886,264.27,267.89,262
7/28/15,264.82,3879330,255.75,265.4,251.8373
7/27/15,253.01,4688874,262.43,264.4321,250.79
